SampleSize,Trial,Estimator,RuntimeNs
100,72,UnbiasedPairwise,4584
100,72,BiasedPairwise,4667
100,72,PopulationVar,2042
100,72,AltBariance,1500
100,73,Unbiased,2125
100,73,Biased,2083
100,73,BarianceOpt,1542
100,73,NaivePairwise,4667
100,73,UnbiasedPairwise,4667
100,73,BiasedPairwise,4625
100,73,PopulationVar,2041
100,73,AltBariance,1500
100,74,Unbiased,2084
100,74,Biased,2083
100,74,BarianceOpt,1500
100,74,NaivePairwise,4667
100,74,UnbiasedPairwise,4667
100,74,BiasedPairwise,4666
100,74,PopulationVar,2083
100,74,AltBariance,1500
100,75,Unbiased,2083
100,75,Biased,2042
100,75,BarianceOpt,1541
100,75,NaivePairwise,4709
100,75,UnbiasedPairwise,4667
100,75,BiasedPairwise,4666
100,75,PopulationVar,2083
100,75,AltBariance,1500
100,76,Unbiased,3125
100,76,Biased,2792
100,76,BarianceOpt,1667
100,76,NaivePairwise,4667
100,76,UnbiasedPairwise,4834
100,76,BiasedPairwise,4625
100,76,PopulationVar,2458
100,76,AltBariance,1541
100,77,Unbiased,2250
100,77,Biased,2041
100,77,BarianceOpt,1542
100,77,NaivePairwise,4667
100,77,UnbiasedPairwise,4666
100,77,BiasedPairwise,4625
100,77,PopulationVar,2084
100,77,AltBariance,1500
100,78,Unbiased,2250
100,78,Biased,2083
100,78,BarianceOpt,1500
100,78,NaivePairwise,4667
100,78,UnbiasedPairwise,4625
100,78,BiasedPairwise,4708
100,78,PopulationVar,2167
100,78,AltBariance,1500
100,79,Unbiased,2083
100,79,Biased,2042
100,79,BarianceOpt,1584
100,79,NaivePairwise,4625
100,79,UnbiasedPairwise,4625
100,79,BiasedPairwise,4666
100,79,PopulationVar,2042
100,79,AltBariance,1542
100,80,Unbiased,2125
100,80,Biased,2083
100,80,BarianceOpt,1500
100,80,NaivePairwise,4625
100,80,UnbiasedPairwise,4625
100,80,BiasedPairwise,4666
100,80,PopulationVar,2041
100,80,AltBariance,1583
100,81,Unbiased,2500
100,81,Biased,2417
100,81,BarianceOpt,1916
100,81,NaivePairwise,4667
100,81,UnbiasedPairwise,4625
100,81,BiasedPairwise,4750
100,81,PopulationVar,2625
100,81,AltBariance,1917
100,82,Unbiased,2125
100,82,Biased,2042
100,82,BarianceOpt,1416
100,82,NaivePairwise,4625
100,82,UnbiasedPairwise,4625
100,82,BiasedPairwise,4625
100,82,PopulationVar,2083
100,82,AltBariance,1541
100,83,Unbiased,2125
100,83,Biased,2084
100,83,BarianceOpt,1417
100,83,NaivePairwise,4625
100,83,UnbiasedPairwise,4709
100,83,BiasedPairwise,4667
100,83,PopulationVar,2209
100,83,AltBariance,1542
100,84,Unbiased,2208
100,84,Biased,2042
100,84,BarianceOpt,1542
100,84,NaivePairwise,4750
100,84,UnbiasedPairwise,4625
100,84,BiasedPairwise,4625
100,84,PopulationVar,2041
100,84,AltBariance,1542
100,85,Unbiased,2125
100,85,Biased,2042
100,85,BarianceOpt,1583
100,85,NaivePairwise,4750
100,85,UnbiasedPairwise,4625
100,85,BiasedPairwise,4666
100,85,PopulationVar,2041
100,85,AltBariance,1667
100,86,Unbiased,2125
100,86,Biased,2125
100,86,BarianceOpt,1458
100,86,NaivePairwise,4625
100,86,UnbiasedPairwise,4625
100,86,BiasedPairwise,4666
100,86,PopulationVar,2083
100,86,AltBariance,1500
100,87,Unbiased,2417
100,87,Biased,2292
100,87,BarianceOpt,1583
100,87,NaivePairwise,4708
100,87,UnbiasedPairwise,4625
100,87,BiasedPairwise,4833
100,87,PopulationVar,2375
100,87,AltBariance,1500
100,88,Unbiased,2167
100,88,Biased,2125
100,88,BarianceOpt,1583
100,88,NaivePairwise,4625
100,88,UnbiasedPairwise,4666
100,88,BiasedPairwise,4791
100,88,PopulationVar,2042
100,88,AltBariance,1708
100,89,Unbiased,2208
100,89,Biased,2084
100,89,BarianceOpt,1375
100,89,NaivePairwise,4709
100,89,UnbiasedPairwise,4625
100,89,BiasedPairwise,4666
100,89,PopulationVar,2083
100,89,AltBariance,1542
100,90,Unbiased,2125
100,90,Biased,2042
100,90,BarianceOpt,1541
100,90,NaivePairwise,4625
100,90,UnbiasedPairwise,4666
100,90,BiasedPairwise,4666
100,90,PopulationVar,2041
100,90,AltBariance,1417
100,91,Unbiased,2250
100,91,Biased,2125
100,91,BarianceOpt,1417
100,91,NaivePairwise,4625
100,91,UnbiasedPairwise,4625
100,91,BiasedPairwise,4708
100,91,PopulationVar,2083
100,91,AltBariance,1500
100,92,Unbiased,2917
100,92,Biased,2375
100,92,BarianceOpt,1625
100,92,NaivePairwise,4625
100,92,UnbiasedPairwise,4625
100,92,BiasedPairwise,4709
100,92,PopulationVar,2500
100,92,AltBariance,1750
100,93,Unbiased,2083
100,93,Biased,2083
100,93,BarianceOpt,1542
100,93,NaivePairwise,4625
100,93,UnbiasedPairwise,4583
100,93,BiasedPairwise,4625
100,93,PopulationVar,2084
100,93,AltBariance,1625
100,94,Unbiased,2083
100,94,Biased,2000
100,94,BarianceOpt,1500
100,94,NaivePairwise,4542
100,94,UnbiasedPairwise,4500
100,94,BiasedPairwise,4709
100,94,PopulationVar,2000
100,94,AltBariance,1416
100,95,Unbiased,2125
100,95,Biased,2000
100,95,BarianceOpt,1542
100,95,NaivePairwise,4584
100,95,UnbiasedPairwise,4541
100,95,BiasedPairwise,4542
100,95,PopulationVar,2000
100,95,AltBariance,1541
100,96,Unbiased,3000
100,96,Biased,2250
100,96,BarianceOpt,1667
100,96,NaivePairwise,4834
100,96,UnbiasedPairwise,7667
100,96,BiasedPairwise,7291
100,96,PopulationVar,2208
100,96,AltBariance,1625
100,97,Unbiased,2792
100,97,Biased,2417
100,97,BarianceOpt,1541
100,97,NaivePairwise,4625
100,97,UnbiasedPairwise,4625
100,97,BiasedPairwise,4666
100,97,PopulationVar,2333
100,97,AltBariance,1375
100,98,Unbiased,2209
100,98,Biased,2083
100,98,BarianceOpt,1417
100,98,NaivePairwise,4583
100,98,UnbiasedPairwise,4625
100,98,BiasedPairwise,4666
100,98,PopulationVar,2042
100,98,AltBariance,1750
100,99,Unbiased,2125
100,99,Biased,2167
100,99,BarianceOpt,1500
100,99,NaivePairwise,4625
100,99,UnbiasedPairwise,4625
100,99,BiasedPairwise,4666
100,99,PopulationVar,2042
100,99,AltBariance,1542
100,100,Unbiased,2125
100,100,Biased,2125
100,100,BarianceOpt,1541
100,100,NaivePairwise,4750
100,100,UnbiasedPairwise,4625
100,100,BiasedPairwise,4750
100,100,PopulationVar,2000
100,100,AltBariance,1500
100,101,Unbiased,2209
100,101,Biased,2083
100,101,BarianceOpt,1625
100,101,NaivePairwise,4625
100,101,UnbiasedPairwise,4666
100,101,BiasedPairwise,4667
100,101,PopulationVar,2208
100,101,AltBariance,1375
100,102,Unbiased,2542
100,102,Biased,2291
100,102,BarianceOpt,1875
100,102,NaivePairwise,4583
100,102,UnbiasedPairwise,4583
100,102,BiasedPairwise,4625
100,102,PopulationVar,2667
100,102,AltBariance,1792
100,103,Unbiased,2125
100,103,Biased,2167
100,103,BarianceOpt,1541
100,103,NaivePairwise,4625
100,103,UnbiasedPairwise,4750
100,103,BiasedPairwise,4708
100,103,PopulationVar,2167
100,103,AltBariance,1625
100,104,Unbiased,2166
100,104,Biased,2042
100,104,BarianceOpt,1417
100,104,NaivePairwise,4625
100,104,UnbiasedPairwise,4625
100,104,BiasedPairwise,4667
100,104,PopulationVar,2125
100,104,AltBariance,1500
100,105,Unbiased,2166
100,105,Biased,2041
100,105,BarianceOpt,1417
100,105,NaivePairwise,4625
100,105,UnbiasedPairwise,4625
100,105,BiasedPairwise,4625
100,105,PopulationVar,2084
100,105,AltBariance,1625
100,106,Unbiased,2084
100,106,Biased,2041
100,106,BarianceOpt,1667
100,106,NaivePairwise,4667
100,106,UnbiasedPairwise,4709
100,106,BiasedPairwise,4709
100,106,PopulationVar,2041
100,106,AltBariance,1542
100,107,Unbiased,2541
100,107,Biased,2375
100,107,BarianceOpt,1417
100,107,NaivePairwise,4709
100,107,UnbiasedPairwise,4750
100,107,BiasedPairwise,4625
100,107,PopulationVar,2417
100,107,AltBariance,1417
100,108,Unbiased,2167
100,108,Biased,2042
100,108,BarianceOpt,1542
100,108,NaivePairwise,4625
100,108,UnbiasedPairwise,4584
100,108,BiasedPairwise,4708
100,108,PopulationVar,2000
100,108,AltBariance,1583
100,109,Unbiased,2208
100,109,Biased,2041
100,109,BarianceOpt,1416
100,109,NaivePairwise,4709
100,109,UnbiasedPairwise,4666
100,109,BiasedPairwise,4625
100,109,PopulationVar,2042
100,109,AltBariance,1541
100,110,Unbiased,2167
100,110,Biased,2041
100,110,BarianceOpt,1542
100,110,NaivePairwise,4667
100,110,UnbiasedPairwise,4584
100,110,BiasedPairwise,4584
100,110,PopulationVar,2083
100,110,AltBariance,1417
100,111,Unbiased,2125
100,111,Biased,2042
100,111,BarianceOpt,1375
100,111,NaivePairwise,4625
100,111,UnbiasedPairwise,4750
100,111,BiasedPairwise,4708
100,111,PopulationVar,2042
